date,open,high,low,close,volume
2026-04-06T00:00:00-04:00,2109.33,2174.86,2109.33,2143.85,316247007.0
2026-04-05T00:00:00-04:00,2065.14,2122.79,2020.97,2109.24,112500706.0
2026-04-04T00:00:00-04:00,2053.5,2083.32,2043.9,2065.17,6926913517.0
2026-04-03T00:00:00-04:00,2056.78,2081.74,2040.65,2053.52,9609678843.0
2026-04-02T00:00:00-04:00,2140.1,2159.16,2015.85,2056.78,18847170816.0
2026-04-01T00:00:00-04:00,2103.41,2167.56,2080.26,2140.21,19542997434.0
2026-03-31T00:00:00-04:00,2024.58,2121.66,2010.09,2103.61,21278561395.0
2026-03-30T00:00:00-04:00,1983.04,2083.73,1978.46,2024.6,17840662425.0
2026-03-29T00:00:00-04:00,1992.98,2017.77,1937.59,1982.96,9451184647.0
2026-03-28T00:00:00-04:00,1991.55,2044.47,1981.05,1992.98,8641221084.0
2026-03-27T00:00:00-04:00,2058.74,2076.09,1970.04,1991.55,19453998121.0
2026-03-26T00:00:00-04:00,2167.98,2171.39,2032.63,2058.74,18628112246.0
2026-03-25T00:00:00-04:00,2155.55,2199.81,2145.64,2167.98,17086301657.0
2026-03-24T00:00:00-04:00,2151.7,2175.42,2101.61,2155.56,18389631713.0
2026-03-23T00:00:00-04:00,2053.36,2198.32,2022.32,2151.71,28509077302.0
2026-03-22T00:00:00-04:00,2084.61,2126.45,2025.65,2053.49,16438149794.0
2026-03-21T00:00:00-04:00,2145.89,2167.71,2070.71,2084.64,8654913047.0
2026-03-20T00:00:00-04:00,2137.65,2176.62,2115.85,2145.89,17970488517.0
2026-03-19T00:00:00-04:00,2203.46,2233.69,2098.94,2137.98,24090913749.0
2026-03-18T00:00:00-04:00,2318.15,2351.09,2153.0,2203.47,25617966362.0
2026-03-17T00:00:00-04:00,2352.94,2376.79,2296.2,2318.03,26737564550.0
2026-03-16T00:00:00-04:00,2178.6,2386.23,2165.0,2352.94,38938369545.0
2026-03-15T00:00:00-04:00,2096.7,2203.09,2083.87,2178.67,15333885132.0
2026-03-14T00:00:00-04:00,2092.81,2106.06,2061.91,2096.7,10073411269.0
2026-03-13T00:00:00-04:00,2073.78,2211.62,2070.09,2092.81,29345212033.0
2026-03-12T00:00:00-04:00,2052.42,2096.09,2018.15,2074.0,20624954899.0
2026-03-11T00:00:00-04:00,2037.0,2086.49,2007.0,2052.25,19031715359.0
2026-03-10T00:00:00-04:00,1993.18,2088.83,1991.09,2036.8,23552353781.0
2026-03-09T00:00:00-04:00,1936.97,2054.09,1929.61,1993.19,24015826480.0
2026-03-08T00:00:00-05:00,1969.61,2008.09,1911.64,1936.93,16314032554.0
2026-03-07T00:00:00-05:00,1978.49,1996.51,1948.09,1969.61,16314032554.0
2026-03-06T00:00:00-05:00,2073.19,2093.4,1955.49,1978.49,19733648079.0
2026-03-05T00:00:00-05:00,2127.6,2164.34,2054.4,2072.99,33610946768.0
2026-03-04T00:00:00-05:00,1982.96,2200.0,1942.58,2127.61,33610946768.0
2026-03-03T00:00:00-05:00,2027.59,2041.93,1927.75,1982.87,33610946768.0
2026-03-02T00:00:00-05:00,1939.67,2089.49,1920.0,2027.49,26235436166.0
2026-03-01T00:00:00-05:00,1964.7,2054.56,1907.99,1939.68,23649071468.0
2026-02-28T00:00:00-05:00,1929.61,1984.9,1835.46,1964.71,21675923669.0
2026-02-27T00:00:00-05:00,2027.59,2063.99,1887.04,1929.61,21136821039.0
2026-02-26T00:00:00-05:00,2057.7,2083.57,1975.11,2027.9,23327720766.0
2026-02-25T00:00:00-05:00,1852.0,2148.44,1845.98,2057.71,27717195805.0
2026-02-24T00:00:00-05:00,1855.53,1868.92,1800.09,1851.94,18475122228.0
2026-02-23T00:00:00-05:00,1956.96,1958.13,1836.96,1855.52,23731172668.0
2026-02-22T00:00:00-05:00,1972.93,1982.78,1934.04,1956.84,9488829492.0
2026-02-21T00:00:00-05:00,1968.14,1995.0,1955.04,1973.0,11561261802.0
2026-02-20T00:00:00-05:00,1948.19,1981.39,1922.31,1968.13,21682976627.0
2026-02-19T00:00:00-05:00,1955.04,1986.59,1905.12,1948.16,17380103826.0
2026-02-18T00:00:00-05:00,1990.84,2038.2,1922.59,1955.01,20187307041.0
2026-02-17T00:00:00-05:00,1997.28,2015.5,1940.16,1990.83,20929890501.0
2026-02-16T00:00:00-05:00,1965.48,2022.48,1936.44,1997.28,19219250473.0
2026-02-15T00:00:00-05:00,2085.47,2101.78,1927.48,1965.36,31030538835.0
2026-02-14T00:00:00-05:00,2047.58,2106.41,2041.04,2085.4,31030538835.0
2026-02-13T00:00:00-05:00,1946.11,2072.06,1923.2,2047.48,20412430639.0
2026-02-12T00:00:00-05:00,1939.9,2000.29,1895.56,1946.11,20412430639.0
2026-02-11T00:00:00-05:00,2021.7,2031.41,1901.31,1939.45,23922680362.0
2026-02-10T00:00:00-05:00,2103.83,2123.22,1988.0,2021.71,23922680362.0
2026-02-09T00:00:00-05:00,2088.36,2146.76,2006.88,2103.83,26750982266.0
