date,open,high,low,close,volume
2026-04-06T00:00:00-04:00,69005.0,70378.48,68738.74,69857.05,620938172.0
2026-04-05T00:00:00-04:00,67291.72,69117.6,66600.0,69005.0,262935181.0
2026-04-04T00:00:00-04:00,66959.98,67535.2,66770.64,67291.73,15878814963.0
2026-04-03T00:00:00-04:00,66899.11,67375.7,66275.01,66959.99,22815543346.0
2026-04-02T00:00:00-04:00,68112.34,68652.0,65696.96,66894.48,39323384518.0
2026-04-01T00:00:00-04:00,68221.84,69285.99,67525.59,68112.35,36465393617.0
2026-03-31T00:00:00-04:00,66737.08,68518.1,65924.82,68221.85,42997691338.0
2026-03-30T00:00:00-04:00,65957.95,68129.33,65736.63,66737.18,37694994180.0
2026-03-29T00:00:00-04:00,66320.16,67076.07,64938.66,65956.94,21645889785.0
2026-03-28T00:00:00-04:00,66353.33,67249.65,65876.61,66320.15,21645889785.0
2026-03-27T00:00:00-04:00,68769.02,69128.75,65498.75,66353.34,46483453594.0
2026-03-26T00:00:00-04:00,71301.52,71414.33,68102.36,68769.02,46483453594.0
2026-03-25T00:00:00-04:00,70533.48,72030.29,70357.1,71301.53,38962070215.0
2026-03-24T00:00:00-04:00,70874.22,71389.0,68889.0,70533.49,40181522399.0
2026-03-23T00:00:00-04:00,67844.94,71811.0,67425.0,70874.23,51508669357.0
2026-03-22T00:00:00-04:00,68912.02,69577.0,67332.05,67844.94,30108051508.0
2026-03-21T00:00:00-04:00,70497.01,71075.92,68562.13,68912.02,21109354718.0
2026-03-20T00:00:00-04:00,69917.19,71384.62,69360.0,70497.01,38299078407.0
2026-03-19T00:00:00-04:00,71245.01,71628.0,68772.78,69918.3,46229011155.0
2026-03-18T00:00:00-04:00,73934.11,74700.0,70474.83,71245.02,49500721728.0
2026-03-17T00:00:00-04:00,74886.46,76022.6,73400.01,73934.11,55572438409.0
2026-03-16T00:00:00-04:00,72830.01,74913.69,72276.24,74886.47,55572438409.0
2026-03-15T00:00:00-04:00,71232.01,73220.8,70868.41,72830.01,27991268669.0
2026-03-14T00:00:00-04:00,70944.32,71316.0,70236.02,71232.02,22283546496.0
2026-03-13T00:00:00-04:00,70530.02,73968.0,70398.01,70944.33,61167226505.0
2026-03-12T00:00:00-04:00,70208.03,70819.84,69180.01,70531.56,45236859848.0
2026-03-11T00:00:00-04:00,69960.83,71358.48,68980.74,70208.0,54003996096.0
2026-03-10T00:00:00-04:00,68432.16,71800.0,68383.5,69960.83,54003996096.0
2026-03-09T00:00:00-04:00,65970.56,69543.0,65820.93,68432.17,49499875378.0
2026-03-08T00:00:00-05:00,67259.62,68201.16,65618.51,65970.56,33195080116.0
2026-03-07T00:00:00-05:00,68108.23,68544.79,66921.33,67259.62,33195080116.0
2026-03-06T00:00:00-05:00,70887.61,71428.4,67725.14,68108.24,43776962871.0
2026-03-05T00:00:00-05:00,72683.26,73588.24,70639.01,70887.6,51172841727.0
2026-03-04T00:00:00-05:00,68335.99,74100.0,67391.17,72683.26,75073101274.0
