date,open,high,low,close,volume
2026-04-07T00:00:00-04:00,36.304,37.137,35.78,36.057,193437888.0
2026-04-06T00:00:00-04:00,36.849,37.748,36.021,36.304,189489376.0
2026-04-05T00:00:00-04:00,36.386,36.992,35.158,36.851,145405040.0
2026-04-04T00:00:00-04:00,35.616,36.547,35.524,36.385,100474392.0
2026-04-03T00:00:00-04:00,35.2,36.108,35.104,35.616,160824646.0
2026-04-02T00:00:00-04:00,36.002,36.281,34.46,35.199,280306589.0
2026-04-01T00:00:00-04:00,36.566,37.761,35.863,36.002,275443040.0
2026-03-31T00:00:00-04:00,36.813,37.61,35.664,36.566,362978692.0
2026-03-30T00:00:00-04:00,37.819,38.781,36.503,36.814,249592815.0
2026-03-29T00:00:00-04:00,39.45,40.03,37.751,37.819,181330224.0
2026-03-28T00:00:00-04:00,38.665,40.256,37.978,39.452,186258686.0
2026-03-27T00:00:00-04:00,39.148,39.406,37.903,38.666,238417856.0
2026-03-26T00:00:00-04:00,40.303,40.355,38.303,39.146,254012523.0
2026-03-25T00:00:00-04:00,40.351,41.553,39.678,40.303,304404664.0
2026-03-24T00:00:00-04:00,37.361,40.444,37.265,40.351,356127328.0
2026-03-23T00:00:00-04:00,38.353,39.475,36.764,37.359,489087883.0
2026-03-22T00:00:00-04:00,39.164,39.507,37.484,38.353,291484064.0
2026-03-21T00:00:00-04:00,39.551,40.455,38.954,39.164,189730688.0
2026-03-20T00:00:00-04:00,39.353,40.748,38.414,39.551,352380343.0
2026-03-19T00:00:00-04:00,42.126,42.25,38.642,39.353,588313308.0
2026-03-18T00:00:00-04:00,41.166,43.744,40.246,42.126,588313308.0
2026-03-17T00:00:00-04:00,40.798,42.133,39.66,41.166,516791667.0
2026-03-16T00:00:00-04:00,37.281,41.422,37.267,40.797,535442176.0
2026-03-15T00:00:00-04:00,37.831,38.268,36.829,37.282,269902664.0
2026-03-14T00:00:00-04:00,36.468,38.855,36.387,37.831,269902664.0
2026-03-13T00:00:00-04:00,37.294,38.507,36.01,36.468,470503277.0
2026-03-12T00:00:00-04:00,36.231,38.029,35.82,37.294,405302880.0
2026-03-11T00:00:00-04:00,34.188,36.997,34.09,36.231,418669536.0
2026-03-10T00:00:00-04:00,34.682,35.199,33.52,34.188,357349205.0
2026-03-09T00:00:00-04:00,30.716,35.363,30.273,34.682,525604800.0
2026-03-08T00:00:00-05:00,30.301,31.218,29.71,30.716,205177536.0
2026-03-07T00:00:00-05:00,31.021,31.103,29.818,30.302,174169533.0
2026-03-06T00:00:00-05:00,30.548,31.314,29.476,31.021,250958488.0
2026-03-05T00:00:00-05:00,32.172,32.259,30.26,30.546,250958488.0
2026-03-04T00:00:00-05:00,31.306,33.213,30.759,32.172,313863474.0
2026-03-03T00:00:00-05:00,32.815,33.55,30.83,31.306,313990065.0
2026-03-02T00:00:00-05:00,31.559,33.672,29.985,32.817,418908637.0
2026-03-01T00:00:00-05:00,31.21,32.27,30.203,31.559,342160768.0
